[01/May/2020 21:19:28] INFO [django.utils.autoreload:597] Watching for file changes with StatReloader
[01/May/2020 21:19:28] DEBUG [django.utils.autoreload:288] Waiting for apps ready_event.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:299] Apps ready_event triggered. Sending autoreload_started signal.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/apps_core_services/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/middleware/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/sites/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/rest_framework/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/rest_auth/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/rest_auth/registration/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/allauth/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/allauth/account/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/allauth/socialaccount/providers/github/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/bootstrapform/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/cloudtop_imagej/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/tycho_jupyter/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:247] Watching dir /Users/singh/Desktop/app_store/appstore/CS_AppsStore/phenotype/locale with glob **/*.mo.
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/apis/autoscaling_v1_api.py first seen with mtime 1588107015.10866
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/oauthlib/__init__.py first seen with mtime 1588107006.8234751
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/posixpath.py first seen with mtime 1586293763.0
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/tokenize.py first seen with mtime 1586293765.0
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py first seen with mtime 1588106997.6198976
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1588107001.2509875
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/allauth/socialaccount/providers/oauth2/urls.py first seen with mtime 1501100056.0
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/requests/api.py first seen with mtime 1588106998.410464
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/models/v1_persistent_volume_claim_volume_source.py first seen with mtime 1588107015.208694
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/models/v1_subject_access_review_status.py first seen with mtime 1588107015.2428675
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/contrib/admin/decorators.py first seen with mtime 1588106999.77158
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/git/objects/base.py first seen with mtime 1588107017.4029357
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/lib-dynload/_scproxy.cpython-37m-darwin.so first seen with mtime 1586370240.0
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/db/models/functions/text.py first seen with mtime 1588107001.2490451
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/views/__init__.py first seen with mtime 1588107001.3163984
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/adal/cache_driver.py first seen with mtime 1588106998.4840229
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/models/v1_git_repo_volume_source.py first seen with mtime 1588107015.1814282
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/git/objects/tree.py first seen with mtime 1588107017.4046538
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/urllib3/connectionpool.py first seen with mtime 1588106998.191469
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/views/generic/__init__.py first seen with mtime 1588107001.3217206
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/django/__init__.py first seen with mtime 1588106999.58118
[01/May/2020 21:19:29] DEBUG [django.utils.autoreload:351] File /Users/singh/Desktop/app_store/appstore/CS_AppsStore/venv/lib/python3.7/site-packages/kubernetes/client/models/v1_persistent_volume_claim_list.py first seen with mtime 1588107015.2077937
